Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit, Value(Dollars) 
2020,216299,GRAPESWINE,99,Stanislaus,8500,9.49,80700,440.61,Tons,"$35,557,000.00 "
2020,216299,GRAPESWINE,103,Tehama,138,4.23,584,1804.79,Tons,"$1,054,000.00 "
2020,216299,GRAPESWINE,107,Tulare,6500,17.23,112000,317,Tons,"$35,504,000.00 "
2020,216299,GRAPESWINE,113,Yolo,19200,7.81,150000,699.67,Tons,"$104,951,000.00 "
2019,216299,GRAPESWINE,1,Alameda,3390,5.34,18100,1503.04,Tons,"$27,205,000.00 "
2019,216299,GRAPESWINE,5,Amador,4880,3.55,17300,1250,Tons,"$21,625,000.00 "
2019,216299,GRAPESWINE,9,Calaveras,711,4.5,3200,1419.69,Tons,"$4,543,000.00 "
2019,216299,GRAPESWINE,11,Colusa,1890,8.84,16700,806.35,Tons,"$13,466,000.00 "
2019,216299,GRAPESWINE,13,ContraCosta,2140,5.47,11700,809.4,Tons,"$9,470,000.00 "
2019,216299,GRAPESWINE,17,ElDorado,2640,2.66,7020,1722.51,Tons,"$12,092,000.00 "
2019,216299,GRAPESWINE,19,Fresno,53500,13.83,740000,343.65,Tons,"$254,300,000.00 "
2019,216299,GRAPESWINE,29,Kern,28500,8.46,241000,238.81,Tons,"$57,554,000.00 "
2019,216299,GRAPESWINE,31,Kings,3670,17.19,63100,268.86,Tons,"$16,965,000.00 "
2019,216299,GRAPESWINE,33,Lake,9340,5.05,47200,1773.62,Tons,"$83,715,000.00 "
2019,216299,GRAPESWINE,39,Madera,34100,11.26,384000,340.01,Tons,"$130,562,000.00 "
2019,216299,GRAPESWINE,41,Marin,195,2.08,406,3371.92,,"$1,369,000.00 "
2019,216299,GRAPESWINE,43,Mariposa,73,0.52,38,1263.16,Tons,"$48,000.00 "
2019,216299,GRAPESWINE,45,Mendocino,16500,4.11,67800,1678.6,Tons,"$113,809,000.00 "
2019,216299,GRAPESWINE,47,Merced,13200,11.36,150000,398.3,Tons,"$59,745,000.00 "
2019,216299,GRAPESWINE,53,Monterey,44700,2.95,132000,1409.82,Tons,"$186,096,000.00 "
2019,216299,GRAPESWINE,55,Napa,44200,3.62,160000,5862.26,Tons,"$937,962,000.00 "
2019,216299,GRAPESWINE,57,Nevada,416,3.92,1630,1564.42,,"$2,550,000.00 "
2019,216299,GRAPESWINE,61,Placer,307,3.75,1150,1386.09,Tons,"$1,594,000.00 "
2019,216299,GRAPESWINE,65,Riverside,1730,3.82,6600,2503.64,Tons,"$16,524,000.00 "
2019,216299,GRAPESWINE,67,Sacramento,35500,8.9,316000,555.13,Tons,"$175,422,000.00 "
2019,216299,GRAPESWINE,69,SanBenito,4740,4.62,21900,1526.21,Tons,"$33,424,000.00 "
2019,216299,GRAPESWINE,71,SanBernardino,219,1.38,302,1231.79,Tons,"$372,000.00 "
2019,216299,GRAPESWINE,73,SanDiego,1510,2.38,3600,1550,Tons,"$5,580,000.00 "
2019,216299,GRAPESWINE,77,SanJoaquin,95900,7.11,682000,546.14,Tons,"$372,467,000.00 "
2019,216299,GRAPESWINE,79,SanLuisObispo,48400,3.1,150000,1695.15,Tons,"$254,273,000.00 "
2019,216299,GRAPESWINE,81,SanMateo,181,,,,,"$1,341,000.00 "
2019,216299,GRAPESWINE,83,SantaBarbara,14900,3.37,50200,2113.13,Tons,"$106,079,000.00 "
2019,216299,GRAPESWINE,85,SantaClara,1700,3.4,5780,1997.4,Tons,"$11,545,000.00 "
2019,216299,GRAPESWINE,87,SantaCruz,679,2.55,1730,3384.97,Tons,"$5,856,000.00 "
2019,216299,GRAPESWINE,89,Shasta,170,1.7,289,1000,Tons,"$289,000.00 "
2019,216299,GRAPESWINE,95,Solano,3730,5.47,20400,1058.19,Tons,"$21,587,000.00 "
2019,216299,GRAPESWINE,97,Sonoma,57500,4,230000,2843.57,Tons,"$654,021,000.00 "
